time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-25T22:55:15.270Z,19.4043331,-155.2575073,0.66,2.57,ml,17,94,0.008031,0.16,hv,hv70320711,2018-06-25T23:36:44.128Z,"3km SW of Volcano, Hawaii",earthquake,0.27,0.2,0.51,15,automatic,hv,hv
2018-06-25T22:53:53.772Z,60.2544,-152.6126,105.4,3.1,ml,,,,0.6,ak,ak19801683,2018-06-26T00:40:55.040Z,"26km SSE of Redoubt Volcano, Alaska",earthquake,,0.3,,,automatic,ak,ak
2018-06-25T22:50:11.850Z,19.4203339,-155.2746735,1.16,2.9,ml,36,40,0.005189,0.19,hv,hv70320701,2018-06-25T22:55:57.980Z,"4km WSW of Volcano, Hawaii",earthquake,0.26,0.16,2.48,16,automatic,hv,hv
2018-06-25T22:47:25.145Z,68.0419,-151.5152,0,2.5,ml,,,,0.58,ak,ak19801670,2018-06-25T23:04:43.891Z,"14km SE of Anaktuvuk Pass, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-06-25T22:46:54.750Z,19.4165,-155.2773333,0.81,3.15,ml,26,52,0.006488,0.08,hv,hv70320696,2018-06-26T00:35:36.879Z,"4km WSW of Volcano, Hawaii",earthquake,0.14,0.1,0.208,25,reviewed,hv,hv
2018-06-25T22:43:19.160Z,19.427166,-155.2593384,0.49,2.94,ml,11,143,0.004377,0.34,hv,hv70320681,2018-06-25T22:49:04.520Z,"2km W of Volcano, Hawaii",earthquake,0.87,0.4,0.41,4,automatic,hv,hv
2018-06-25T22:40:29.290Z,19.4196663,-155.2638397,0.79,2.67,ml,18,56,0.02267,0.35,hv,hv70320676,2018-06-25T23:28:08.336Z,"3km WSW of Volcano, Hawaii",earthquake,0.7,1.29,3.36,21,automatic,hv,hv
2018-06-25T22:40:27.250Z,19.4158325,-155.2746735,0.42,2.86,ml,39,44,0.009078,0.25,hv,hv70320671,2018-06-25T22:46:13.610Z,"4km WSW of Volcano, Hawaii",earthquake,0.26,0.16,2.85,32,automatic,hv,hv
2018-06-25T22:29:31.250Z,19.4011669,-155.2631683,0.59,2.83,ml,31,56,0.003971,0.21,hv,hv70320646,2018-06-25T22:35:18.810Z,"4km SW of Volcano, Hawaii",earthquake,0.18,0.2,2.22,20,automatic,hv,hv
2018-06-25T22:28:14.330Z,19.434166,-155.2723389,1.11,2.64,ml,7,153,0.008309,0.09,hv,hv70320636,2018-06-25T22:33:59.920Z,"3km W of Volcano, Hawaii",earthquake,0.75,0.46,2.58,11,automatic,hv,hv
2018-06-25T22:26:50.070Z,19.4286671,-155.2725067,1.08,2.86,ml,8,155,0.03144,0.11,hv,hv70320631,2018-06-25T22:32:46.930Z,"3km W of Volcano, Hawaii",earthquake,0.68,1.05,0.35,13,automatic,hv,hv
2018-06-25T22:25:54.312Z,68.0265,-151.5382,13.1,3.9,ml,,,,0.44,ak,ak19801628,2018-06-25T23:55:44.040Z,"15km SSE of Anaktuvuk Pass, Alaska",earthquake,,0.2,,,reviewed,ak,ak
